user_id,monthly_income,total_savings,expected_contribution,family_members,married_children,unmarried_children,youngest_unmarried_age,ages_of_unmarried,priority_bridal_dress,priority_groom_dress,priority_furniture,priority_electronics,priority_jewelry,priority_kitchen_items,priority_decoration,priority_miscellaneous,estimated_budget,actual_spent,responsibility_score,category_breakdown
USR-011,110000,1020000,0,4,2,1,28,[28],Medium,Medium,High,Medium,Low,High,Low,Low,528000,427338,1.0,"{""bridal_dress"": 78571, ""groom_dress"": 52380, ""furniture"": 125714, ""electronics"": 78571, ""jewelry"": 83809, ""kitchen_items"": 75428, ""decoration"": 20952, ""miscellaneous"": 12571}"
USR-012,140000,870000,0,12,2,1,18,[18],High,Low,Low,High,Low,Medium,High,High,638400,599180,0.95,"{""bridal_dress"": 117737, ""groom_dress"": 52327, ""furniture"": 104655, ""electronics"": 117737, ""jewelry"": 104655, ""kitchen_items"": 78491, ""decoration"": 39245, ""miscellaneous"": 23547}"
USR-013,265000,1140000,100000,9,2,1,25,[25],High,Medium,Medium,Low,High,Low,Medium,High,1012000,1181843,1.0,"{""bridal_dress"": 178238, ""groom_dress"": 99021, ""furniture"": 198043, ""electronics"": 118825, ""jewelry"": 237651, ""kitchen_items"": 95060, ""decoration"": 49510, ""miscellaneous"": 35647}"
USR-014,290000,1790000,0,8,3,3,13,"[26, 22, 13]",Low,High,High,High,Medium,Medium,Medium,Low,835200,795617,0.6,"{""bridal_dress"": 95089, ""groom_dress"": 95089, ""furniture"": 190178, ""electronics"": 142633, ""jewelry"": 158481, ""kitchen_items"": 95089, ""decoration"": 39620, ""miscellaneous"": 19017}"
USR-015,155000,820000,0,6,0,4,19,"[28, 23, 21, 19]",Medium,High,High,High,Medium,Medium,High,High,328000,310821,0.5,"{""bridal_dress"": 44484, ""groom_dress"": 35587, ""furniture"": 71175, ""electronics"": 53381, ""jewelry"": 59312, ""kitchen_items"": 35587, ""decoration"": 17793, ""miscellaneous"": 10676}"
USR-016,85000,780000,0,8,3,4,14,"[28, 26, 19, 14]",Low,High,Low,Medium,Low,Low,Medium,High,204000,258403,0.5,"{""bridal_dress"": 27443, ""groom_dress"": 27443, ""furniture"": 36591, ""electronics"": 34304, ""jewelry"": 36591, ""kitchen_items"": 21955, ""decoration"": 11434, ""miscellaneous"": 8233}"
USR-017,175000,220000,0,7,3,3,10,"[21, 20, 10]",Medium,Low,Low,Low,High,High,High,Low,105600,136862,0.6,"{""bridal_dress"": 16196, ""groom_dress"": 8638, ""furniture"": 17276, ""electronics"": 12957, ""jewelry"": 25914, ""kitchen_items"": 15548, ""decoration"": 6478, ""miscellaneous"": 2591}"
USR-018,75000,100000,50000,12,1,4,13,"[28, 28, 24, 13]",Low,Medium,High,Low,High,High,High,High,65000,56537,0.5,"{""bridal_dress"": 7358, ""groom_dress"": 6132, ""furniture"": 14716, ""electronics"": 7358, ""jewelry"": 14716, ""kitchen_items"": 8830, ""decoration"": 3679, ""miscellaneous"": 2207}"
USR-019,245000,700000,200000,6,1,2,15,"[28, 15]",Low,Low,High,High,Medium,Low,High,Low,570000,475663,0.75,"{""bridal_dress"": 68400, ""groom_dress"": 45600, ""furniture"": 136800, ""electronics"": 102600, ""jewelry"": 114000, ""kitchen_items"": 54720, ""decoration"": 34200, ""miscellaneous"": 13680}"
USR-020,110000,1080000,0,11,3,2,20,"[27, 20]",High,Low,Low,Low,Low,Low,Medium,Medium,422399,537947,0.8,"{""bridal_dress"": 86794, ""groom_dress"": 38575, ""furniture"": 77150, ""electronics"": 57862, ""jewelry"": 77150, ""kitchen_items"": 46290, ""decoration"": 24109, ""miscellaneous"": 14465}"
USR-021,155000,490000,50000,8,3,3,15,"[22, 20, 15]",Low,Low,Low,Low,Medium,Medium,Low,Low,265200,316483,0.6,"{""bridal_dress"": 36833, ""groom_dress"": 24555, ""furniture"": 49111, ""electronics"": 36833, ""jewelry"": 61388, ""kitchen_items"": 36833, ""decoration"": 12277, ""miscellaneous"": 7366}"
USR-022,120000,1480000,50000,11,1,1,28,[28],Low,High,High,High,High,Low,Low,Low,626000,787864,1.0,"{""bridal_dress"": 70867, ""groom_dress"": 70867, ""furniture"": 141735, ""electronics"": 106301, ""jewelry"": 141735, ""kitchen_items"": 56694, ""decoration"": 23622, ""miscellaneous"": 14173}"
USR-023,280000,160000,0,9,2,4,11,"[14, 12, 11, 11]",High,High,Medium,High,Medium,Low,Medium,Low,64000,77249,0.5,"{""bridal_dress"": 10971, ""groom_dress"": 7314, ""furniture"": 12190, ""electronics"": 10971, ""jewelry"": 12190, ""kitchen_items"": 5851, ""decoration"": 3047, ""miscellaneous"": 1462}"
USR-024,190000,320000,0,7,3,2,11,"[19, 11]",Low,High,Medium,High,High,Low,Low,Low,192000,234564,0.75,"{""bridal_dress"": 22588, ""groom_dress"": 22588, ""furniture"": 37647, ""electronics"": 33882, ""jewelry"": 45176, ""kitchen_items"": 18070, ""decoration"": 7529, ""miscellaneous"": 4517}"
USR-025,125000,1010000,200000,10,2,4,24,"[28, 28, 26, 24]",High,High,Low,Medium,Medium,Low,High,Medium,440000,451745,0.55,"{""bridal_dress"": 79518, ""groom_dress"": 53012, ""furniture"": 70682, ""electronics"": 66265, ""jewelry"": 88353, ""kitchen_items"": 42409, ""decoration"": 26506, ""miscellaneous"": 13253}"
USR-026,265000,410000,0,6,0,3,13,"[21, 17, 13]",Low,Medium,High,Low,High,High,Medium,Medium,196800,180351,0.6,"{""bridal_dress"": 22620, ""groom_dress"": 18850, ""furniture"": 45241, ""electronics"": 22620, ""jewelry"": 45241, ""kitchen_items"": 27144, ""decoration"": 9425, ""miscellaneous"": 5655}"
USR-027,220000,1490000,150000,12,2,3,24,"[27, 25, 24]",Low,High,Low,Medium,Low,Medium,Medium,Low,844200,1063719,0.7,"{""bridal_dress"": 112061, ""groom_dress"": 112061, ""furniture"": 149415, ""electronics"": 140077, ""jewelry"": 149415, ""kitchen_items"": 112061, ""decoration"": 46692, ""miscellaneous"": 22412}"
USR-028,270000,240000,0,4,1,1,16,[16],Low,Low,Low,Medium,Low,High,High,Low,172800,208079,0.9,"{""bridal_dress"": 23091, ""groom_dress"": 15394, ""furniture"": 30788, ""electronics"": 28864, ""jewelry"": 30788, ""kitchen_items"": 27709, ""decoration"": 11545, ""miscellaneous"": 4618}"
USR-029,300000,950000,0,10,3,3,12,"[28, 22, 12]",Low,Medium,Low,Medium,Medium,Low,Low,Medium,456000,474667,0.6,"{""bridal_dress"": 61071, ""groom_dress"": 50892, ""furniture"": 81428, ""electronics"": 76339, ""jewelry"": 101785, ""kitchen_items"": 48857, ""decoration"": 20357, ""miscellaneous"": 15267}"
USR-030,160000,200000,0,10,1,3,15,"[22, 17, 15]",Medium,Medium,Low,High,High,Medium,Low,Medium,96000,121665,0.6,"{""bridal_dress"": 14117, ""groom_dress"": 9411, ""furniture"": 15058, ""electronics"": 16941, ""jewelry"": 22588, ""kitchen_items"": 11294, ""decoration"": 3764, ""miscellaneous"": 2823}"
USR-031,105000,1060000,0,8,0,1,18,[18],Low,High,High,Medium,High,Low,Low,Low,478800,407598,0.95,"{""bridal_dress"": 55782, ""groom_dress"": 55782, ""furniture"": 111565, ""electronics"": 69728, ""jewelry"": 111565, ""kitchen_items"": 44626, ""decoration"": 18594, ""miscellaneous"": 11156}"
USR-032,145000,780000,200000,10,2,4,16,"[26, 25, 25, 16]",High,Medium,High,High,High,High,High,Low,412000,301102,0.5,"{""bridal_dress"": 63493, ""groom_dress"": 35273, ""furniture"": 84657, ""electronics"": 63493, ""jewelry"": 84657, ""kitchen_items"": 50794, ""decoration"": 21164, ""miscellaneous"": 8465}"
USR-033,100000,1700000,0,11,0,4,13,"[20, 17, 16, 13]",Low,Low,Low,High,Medium,Low,High,High,240000,285316,0.5,"{""bridal_dress"": 30901, ""groom_dress"": 20600, ""furniture"": 41201, ""electronics"": 46351, ""jewelry"": 51502, ""kitchen_items"": 24721, ""decoration"": 15450, ""miscellaneous"": 9270}"
USR-034,270000,900000,0,12,2,4,10,"[25, 22, 12, 10]",Low,Medium,Medium,Low,Medium,Low,High,Low,360000,254394,0.5,"{""bridal_dress"": 46956, ""groom_dress"": 39130, ""furniture"": 78260, ""electronics"": 46956, ""jewelry"": 78260, ""kitchen_items"": 37565, ""decoration"": 23478, ""miscellaneous"": 9391}"
USR-035,85000,1800000,0,7,1,2,20,"[28, 20]",High,Low,Low,Medium,Medium,High,High,Medium,326400,380566,0.8,"{""bridal_dress"": 58517, ""groom_dress"": 26007, ""furniture"": 52015, ""electronics"": 48764, ""jewelry"": 65019, ""kitchen_items"": 46814, ""decoration"": 19505, ""miscellaneous"": 9752}"
USR-036,50000,1660000,200000,11,1,2,19,"[22, 19]",High,High,High,High,Medium,Low,Low,High,351999,248034,0.8,"{""bridal_dress"": 58021, ""groom_dress"": 38681, ""furniture"": 77362, ""electronics"": 58021, ""jewelry"": 64468, ""kitchen_items"": 30944, ""decoration"": 12893, ""miscellaneous"": 11604}"
USR-037,145000,1320000,100000,7,2,4,16,"[25, 21, 19, 16]",Low,Low,High,Medium,High,High,Low,Medium,398000,339568,0.5,"{""bridal_dress"": 45747, ""groom_dress"": 30498, ""furniture"": 91494, ""electronics"": 57183, ""jewelry"": 91494, ""kitchen_items"": 54896, ""decoration"": 15249, ""miscellaneous"": 11436}"
USR-038,130000,1650000,0,8,1,4,21,"[27, 27, 24, 21]",High,Low,Low,Medium,High,High,High,High,312000,319175,0.5,"{""bridal_dress"": 53485, ""groom_dress"": 23771, ""furniture"": 47542, ""electronics"": 44571, ""jewelry"": 71314, ""kitchen_items"": 42788, ""decoration"": 17828, ""miscellaneous"": 10697}"
USR-039,230000,1860000,150000,9,3,2,19,"[24, 19]",High,Low,High,Medium,Medium,Low,Low,Medium,1003199,748307,0.8,"{""bridal_dress"": 177732, ""groom_dress"": 78992, ""furniture"": 236976, ""electronics"": 148110, ""jewelry"": 197480, ""kitchen_items"": 94790, ""decoration"": 39496, ""miscellaneous"": 29622}"
USR-040,100000,1900000,0,5,1,1,21,[21],Medium,Medium,High,Low,High,Low,High,Low,456000,330038,0.95,"{""bridal_dress"": 66407, ""groom_dress"": 44271, ""furniture"": 106252, ""electronics"": 53126, ""jewelry"": 106252, ""kitchen_items"": 42500, ""decoration"": 26563, ""miscellaneous"": 10625}"
USR-041,295000,900000,200000,11,2,2,18,"[20, 18]",High,Low,Low,Medium,Low,Medium,High,Low,735999,866636,0.8,"{""bridal_dress"": 141841, ""groom_dress"": 63040, ""furniture"": 126081, ""electronics"": 118201, ""jewelry"": 126081, ""kitchen_items"": 94560, ""decoration"": 47280, ""miscellaneous"": 18912}"
USR-042,240000,720000,200000,11,3,1,27,[27],Low,High,Medium,Medium,Low,Medium,Medium,Medium,776000,784732,1.0,"{""bridal_dress"": 98021, ""groom_dress"": 98021, ""furniture"": 163368, ""electronics"": 122526, ""jewelry"": 130694, ""kitchen_items"": 98021, ""decoration"": 40842, ""miscellaneous"": 24505}"
USR-043,190000,1880000,0,11,0,3,11,"[14, 12, 11]",Low,High,Medium,High,Medium,Low,Low,Medium,547200,597697,0.6,"{""bridal_dress"": 66596, ""groom_dress"": 66596, ""furniture"": 110993, ""electronics"": 99894, ""jewelry"": 110993, ""kitchen_items"": 53277, ""decoration"": 22198, ""miscellaneous"": 16649}"
USR-044,285000,1970000,0,8,2,1,21,[21],High,High,Medium,High,High,Medium,Medium,High,1299600,1453515,0.95,"{""bridal_dress"": 207751, ""groom_dress"": 138500, ""furniture"": 230834, ""electronics"": 207751, ""jewelry"": 277001, ""kitchen_items"": 138500, ""decoration"": 57708, ""miscellaneous"": 41550}"
USR-045,135000,300000,0,7,3,1,10,[10],Medium,Low,Medium,High,High,Low,Low,Medium,216000,278913,0.9,"{""bridal_dress"": 31889, ""groom_dress"": 17007, ""furniture"": 42519, ""electronics"": 38267, ""jewelry"": 51023, ""kitchen_items"": 20409, ""decoration"": 8503, ""miscellaneous"": 6377}"
USR-046,195000,1960000,0,11,3,4,20,"[25, 21, 20, 20]",Medium,Medium,Low,Medium,Low,Low,Medium,Low,468000,488681,0.5,"{""bridal_dress"": 78876, ""groom_dress"": 52584, ""furniture"": 84134, ""electronics"": 78876, ""jewelry"": 84134, ""kitchen_items"": 50480, ""decoration"": 26292, ""miscellaneous"": 12620}"
USR-047,40000,150000,50000,7,2,2,17,"[23, 17]",High,Medium,High,Low,Low,Low,Low,Medium,127500,90026,0.75,"{""bridal_dress"": 23757, ""groom_dress"": 13198, ""furniture"": 31677, ""electronics"": 15838, ""jewelry"": 21118, ""kitchen_items"": 12670, ""decoration"": 5279, ""miscellaneous"": 3959}"
USR-048,185000,1630000,0,11,3,3,10,"[14, 13, 10]",High,Low,Low,Low,High,High,High,Medium,532800,519219,0.6,"{""bridal_dress"": 94579, ""groom_dress"": 42035, ""furniture"": 84071, ""electronics"": 63053, ""jewelry"": 126106, ""kitchen_items"": 75663, ""decoration"": 31526, ""miscellaneous"": 15763}"
USR-049,45000,690000,200000,10,3,4,10,"[18, 16, 14, 10]",High,Low,Medium,High,Medium,High,High,Medium,208000,145906,0.5,"{""bridal_dress"": 34860, ""groom_dress"": 15493, ""furniture"": 38733, ""electronics"": 34860, ""jewelry"": 38733, ""kitchen_items"": 27888, ""decoration"": 11620, ""miscellaneous"": 5810}"
USR-050,220000,520000,0,12,0,1,21,[21],High,Medium,Low,High,High,High,Low,High,395200,510588,0.95,"{""bridal_dress"": 65866, ""groom_dress"": 36592, ""furniture"": 58548, ""electronics"": 65866, ""jewelry"": 87822, ""kitchen_items"": 52693, ""decoration"": 14637, ""miscellaneous"": 13173}"
USR-051,170000,680000,150000,9,3,4,12,"[27, 22, 13, 12]",Low,High,Medium,Medium,Medium,Low,Low,Low,347000,376135,0.5,"{""bridal_dress"": 43831, ""groom_dress"": 43831, ""furniture"": 73052, ""electronics"": 54789, ""jewelry"": 73052, ""kitchen_items"": 35065, ""decoration"": 14610, ""miscellaneous"": 8766}"
USR-052,50000,1660000,0,8,1,3,14,"[25, 19, 14]",Low,High,High,Medium,Low,High,High,High,144000,174512,0.6,"{""bridal_dress"": 16776, ""groom_dress"": 16776, ""furniture"": 33553, ""electronics"": 20970, ""jewelry"": 22368, ""kitchen_items"": 20132, ""decoration"": 8388, ""miscellaneous"": 5033}"
USR-053,155000,1130000,100000,5,2,1,26,[26],Low,High,Medium,High,Low,High,Low,Low,844000,888940,1.0,"{""bridal_dress"": 102510, ""groom_dress"": 102510, ""furniture"": 170850, ""electronics"": 153765, ""jewelry"": 136680, ""kitchen_items"": 123012, ""decoration"": 34170, ""miscellaneous"": 20502}"
USR-054,80000,1730000,0,11,0,3,17,"[22, 17, 17]",Low,Low,Medium,Medium,High,High,Medium,High,230400,247666,0.6,"{""bridal_dress"": 27105, ""groom_dress"": 18070, ""furniture"": 45176, ""electronics"": 33882, ""jewelry"": 54211, ""kitchen_items"": 32527, ""decoration"": 11294, ""miscellaneous"": 8131}"
USR-055,135000,930000,100000,7,1,2,26,"[26, 26]",High,Low,High,Low,Low,Low,Low,High,635800,533852,0.85,"{""bridal_dress"": 120214, ""groom_dress"": 53428, ""furniture"": 160285, ""electronics"": 80142, ""jewelry"": 106857, ""kitchen_items"": 64114, ""decoration"": 26714, ""miscellaneous"": 24042}"
USR-056,130000,1790000,0,5,1,3,16,"[21, 18, 16]",High,Low,Low,Medium,Low,Low,High,High,374400,299262,0.6,"{""bridal_dress"": 73093, ""groom_dress"": 32485, ""furniture"": 64971, ""electronics"": 60911, ""jewelry"": 64971, ""kitchen_items"": 38983, ""decoration"": 24364, ""miscellaneous"": 14618}"
USR-057,100000,540000,0,5,0,3,12,"[15, 13, 12]",Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,259200,311740,0.6,"{""bridal_dress"": 41361, ""groom_dress"": 22059, ""furniture"": 44119, ""electronics"": 41361, ""jewelry"": 55148, ""kitchen_items"": 33089, ""decoration"": 13787, ""miscellaneous"": 8272}"
USR-058,50000,780000,50000,12,1,1,18,[18],Low,High,Low,High,High,High,High,Low,275500,335481,0.95,"{""bridal_dress"": 31545, ""groom_dress"": 31545, ""furniture"": 42061, ""electronics"": 47318, ""jewelry"": 63091, ""kitchen_items"": 37854, ""decoration"": 15772, ""miscellaneous"": 6309}"
USR-059,140000,960000,0,12,2,3,12,"[27, 14, 12]",Medium,Low,Low,High,High,High,Medium,Medium,403200,337733,0.6,"{""bridal_dress"": 58491, ""groom_dress"": 31195, ""furniture"": 62390, ""electronics"": 70189, ""jewelry"": 93586, ""kitchen_items"": 56151, ""decoration"": 19497, ""miscellaneous"": 11698}"
USR-060,280000,1160000,100000,5,3,1,21,[21],High,Medium,Low,Low,Medium,Medium,Medium,Medium,976600,754699,0.95,"{""bridal_dress"": 183112, ""groom_dress"": 101729, ""furniture"": 162766, ""electronics"": 122074, ""jewelry"": 203458, ""kitchen_items"": 122074, ""decoration"": 50864, ""miscellaneous"": 30518}"
USR-061,220000,260000,100000,8,1,2,21,"[28, 21]",Medium,Low,Medium,High,Medium,High,Medium,High,246399,227534,0.8,"{""bridal_dress"": 35538, ""groom_dress"": 18953, ""furniture"": 47384, ""electronics"": 42645, ""jewelry"": 47384, ""kitchen_items"": 34116, ""decoration"": 11846, ""miscellaneous"": 8529}"
USR-062,165000,1620000,50000,9,0,1,22,[22],High,Low,Low,High,High,Low,Medium,Low,799900,1015314,0.95,"{""bridal_dress"": 142556, ""groom_dress"": 63358, ""furniture"": 126716, ""electronics"": 142556, ""jewelry"": 190075, ""kitchen_items"": 76030, ""decoration"": 39599, ""miscellaneous"": 19007}"
USR-063,155000,930000,0,12,1,1,14,[14],Low,High,High,Low,Medium,Low,Low,High,669600,705213,0.9,"{""bridal_dress"": 82666, ""groom_dress"": 82666, ""furniture"": 165333, ""electronics"": 82666, ""jewelry"": 137777, ""kitchen_items"": 66133, ""decoration"": 27555, ""miscellaneous"": 24800}"
USR-064,240000,720000,50000,8,1,2,16,"[25, 16]",Medium,High,Low,High,Low,Medium,Medium,Medium,469500,482504,0.75,"{""bridal_dress"": 72603, ""groom_dress"": 58082, ""furniture"": 77443, ""electronics"": 87123, ""jewelry"": 77443, ""kitchen_items"": 58082, ""decoration"": 24201, ""miscellaneous"": 14520}"
USR-065,285000,1880000,0,11,3,3,19,"[23, 22, 19]",Medium,High,Low,High,Medium,High,Low,Low,889199,1133013,0.65,"{""bridal_dress"": 131021, ""groom_dress"": 104817, ""furniture"": 139756, ""electronics"": 157225, ""jewelry"": 174695, ""kitchen_items"": 125780, ""decoration"": 34939, ""miscellaneous"": 20963}"
USR-066,255000,1760000,0,10,2,2,10,"[17, 10]",High,High,Medium,Medium,Low,High,High,Medium,918000,1179830,0.75,"{""bridal_dress"": 158275, ""groom_dress"": 105517, ""furniture"": 175862, ""electronics"": 131896, ""jewelry"": 140689, ""kitchen_items"": 126620, ""decoration"": 52758, ""miscellaneous"": 26379}"
USR-067,285000,1100000,150000,4,1,1,17,[17],High,Medium,Medium,Medium,Medium,Medium,Low,Low,927000,1101618,0.9,"{""bridal_dress"": 164556, ""groom_dress"": 91420, ""furniture"": 182840, ""electronics"": 137130, ""jewelry"": 182840, ""kitchen_items"": 109704, ""decoration"": 36568, ""miscellaneous"": 21940}"
USR-068,225000,290000,0,7,2,4,18,"[28, 25, 19, 18]",High,Low,High,Low,Medium,High,Low,High,116000,130410,0.5,"{""bridal_dress"": 20076, ""groom_dress"": 8923, ""furniture"": 26769, ""electronics"": 13384, ""jewelry"": 22307, ""kitchen_items"": 16061, ""decoration"": 4461, ""miscellaneous"": 4015}"
USR-069,150000,530000,50000,6,1,3,10,"[27, 11, 10]",Medium,High,High,Low,Low,High,Low,Medium,284400,355701,0.6,"{""bridal_dress"": 42490, ""groom_dress"": 33992, ""furniture"": 67984, ""electronics"": 33992, ""jewelry"": 45322, ""kitchen_items"": 40790, ""decoration"": 11330, ""miscellaneous"": 8498}"
USR-070,170000,1370000,150000,6,0,1,22,[22],Low,Medium,Medium,High,Medium,Low,Low,Medium,917700,956911,0.95,"{""bridal_dress"": 114000, ""groom_dress"": 95000, ""furniture"": 190000, ""electronics"": 171000, ""jewelry"": 190000, ""kitchen_items"": 91200, ""decoration"": 38000, ""miscellaneous"": 28500}"
USR-071,275000,1760000,150000,7,2,3,14,"[27, 24, 14]",Medium,Medium,Low,High,Medium,Medium,High,Medium,882000,722819,0.6,"{""bridal_dress"": 132300, ""groom_dress"": 88200, ""furniture"": 141120, ""electronics"": 158760, ""jewelry"": 176400, ""kitchen_items"": 105840, ""decoration"": 52920, ""miscellaneous"": 26460}"
USR-072,130000,1920000,50000,5,0,1,17,[17],Medium,Medium,High,Medium,High,High,Medium,Low,606600,480572,0.9,"{""bridal_dress"": 82868, ""groom_dress"": 55245, ""furniture"": 132590, ""electronics"": 82868, ""jewelry"": 132590, ""kitchen_items"": 79554, ""decoration"": 27622, ""miscellaneous"": 13259}"
USR-073,165000,920000,150000,6,1,4,12,"[23, 21, 16, 12]",Low,Low,Medium,High,Medium,Low,Low,Low,443000,414618,0.5,"{""bridal_dress"": 56553, ""groom_dress"": 37702, ""furniture"": 94255, ""electronics"": 84829, ""jewelry"": 94255, ""kitchen_items"": 45242, ""decoration"": 18851, ""miscellaneous"": 11310}"
USR-074,160000,1460000,50000,8,3,2,14,"[20, 14]",Low,Medium,High,Low,Medium,Medium,Low,High,613500,715018,0.75,"{""bridal_dress"": 75430, ""groom_dress"": 62858, ""furniture"": 150860, ""electronics"": 75430, ""jewelry"": 125717, ""kitchen_items"": 75430, ""decoration"": 25143, ""miscellaneous"": 22629}"
USR-075,135000,140000,100000,9,0,1,12,[12],High,High,Medium,Medium,Low,Medium,Medium,Low,190800,160199,0.9,"{""bridal_dress"": 34207, ""groom_dress"": 22804, ""furniture"": 38007, ""electronics"": 28505, ""jewelry"": 30406, ""kitchen_items"": 22804, ""decoration"": 9501, ""miscellaneous"": 4560}"
USR-076,85000,730000,0,10,1,1,11,[11],High,Medium,High,Medium,High,Low,Medium,High,367200,465211,0.9,"{""bridal_dress"": 60527, ""groom_dress"": 33626, ""furniture"": 80703, ""electronics"": 50439, ""jewelry"": 80703, ""kitchen_items"": 32281, ""decoration"": 16813, ""miscellaneous"": 12105}"
USR-077,65000,830000,200000,12,1,1,16,[16],Low,Medium,High,Low,Medium,High,Low,Low,460800,548600,0.9,"{""bridal_dress"": 55967, ""groom_dress"": 46639, ""furniture"": 111935, ""electronics"": 55967, ""jewelry"": 93279, ""kitchen_items"": 67161, ""decoration"": 18655, ""miscellaneous"": 11193}"
USR-078,280000,1460000,0,11,1,1,23,[23],Medium,Medium,High,Medium,High,Low,Low,High,1168000,1163390,1.0,"{""bridal_dress"": 166539, ""groom_dress"": 111026, ""furniture"": 266463, ""electronics"": 166539, ""jewelry"": 266463, ""kitchen_items"": 106585, ""decoration"": 44410, ""miscellaneous"": 39969}"
USR-079,210000,1950000,100000,7,3,1,26,[26],Medium,High,High,Medium,High,Medium,Medium,High,1108000,900406,1.0,"{""bridal_dress"": 150271, ""groom_dress"": 120216, ""furniture"": 240433, ""electronics"": 150271, ""jewelry"": 240433, ""kitchen_items"": 120216, ""decoration"": 50090, ""miscellaneous"": 36065}"
USR-080,285000,900000,0,5,2,2,17,"[20, 17]",Low,High,Medium,Low,Low,Medium,Medium,Low,540000,674765,0.75,"{""bridal_dress"": 70897, ""groom_dress"": 70897, ""furniture"": 118161, ""electronics"": 70897, ""jewelry"": 94529, ""kitchen_items"": 70897, ""decoration"": 29540, ""miscellaneous"": 14179}"
USR-081,125000,1260000,50000,11,1,1,12,[12],Medium,Medium,Low,Medium,Medium,Low,Low,High,585000,664333,0.9,"{""bridal_dress"": 94152, ""groom_dress"": 62768, ""furniture"": 100429, ""electronics"": 94152, ""jewelry"": 125536, ""kitchen_items"": 60257, ""decoration"": 25107, ""miscellaneous"": 22596}"
